"PS Model","Med","Mediator/Outcome Model","PNDE_0.05_20","PNDE_0.05_40","PNDE_0.05_100","PNDE_0.2_20","PNDE_0.2_40","PNDE_0.2_100","PNDE_0.5_20","PNDE_0.5_40","PNDE_0.5_100"
"FE","FE","FE",0.759,0.683,0.529,0.533,0.424,0.299,0.308,0.231,0.149
"RE-Mean","FE","FE",0.78,0.689,0.531,0.553,0.426,0.298,0.312,0.23,0.155
"RE","FE","FE",0.777,0.691,0.533,0.553,0.429,0.299,0.311,0.23,0.153
"SL","FE","FE",0.806,0.718,0.552,0.568,0.434,0.314,0.328,0.225,0.165
"FE","RE","RE",0.948,0.957,0.941,0.945,0.942,0.944,0.944,0.943,0.947
"RE-Mean","RE","RE",0.945,0.954,0.938,0.938,0.946,0.945,0.943,0.944,0.948
"RE","RE","RE",0.948,0.954,0.938,0.94,0.947,0.945,0.945,0.945,0.948
"SL","RE","RE",0.947,0.949,0.955,0.937,0.944,0.945,0.948,0.948,0.95
"FE","RE-Mean","RE-Mean",0.929,0.941,0.943,0.92,0.938,0.945,0.921,0.932,0.942
"RE-Mean","RE-Mean","RE-Mean",0.929,0.942,0.941,0.922,0.939,0.944,0.919,0.935,0.938
"RE","RE-Mean","RE-Mean",0.935,0.943,0.941,0.922,0.939,0.944,0.919,0.931,0.938
"SL","RE-Mean","RE-Mean",0.93,0.941,0.945,0.918,0.928,0.945,0.915,0.937,0.946
"FE","SL","SL",0.842,0.857,0.804,0.704,0.708,0.576,0.481,0.454,0.38
"RE-Mean","SL","SL",0.157,0.29,0.518,0.289,0.427,0.48,0.302,0.34,0.339
"RE","SL","SL",0.144,0.285,0.517,0.282,0.425,0.477,0.301,0.343,0.338
"SL","SL","SL",0,0,0,0,0,0,0.003,0.002,0
