PS Model,Med,Mediator/Outcome Model,PNDE_0.05_20,PNDE_0.05_40,PNDE_0.05_100,PNDE_0.2_20,PNDE_0.2_40,PNDE_0.2_100,PNDE_0.5_20,PNDE_0.5_40,PNDE_0.5_100
FE,FE,FE,0.41528746730931493,0.3522428011470973,0.30069046893505247,0.5967115845451696,0.5602709157900393,0.5467063803449697,0.8548759304106565,0.8280628360957497,0.8306624089012445
RE-Mean,FE,FE,0.3870657536339752,0.34011171135157886,0.29636252107440103,0.5817401031644726,0.5514309801924603,0.543663848772815,0.847962722600176,0.8236609849080841,0.8283228948443779
RE,FE,FE,0.3868500987223082,0.340221590243012,0.2963650800329427,0.5813349872752855,0.5515601761991046,0.5436609890397871,0.8477552583054018,0.8235784333947241,0.8283602723717205
SL,FE,FE,0.3789342867163715,0.3203636459797672,0.28601197175071463,0.5741341392304139,0.5356390837408592,0.5282932353216518,0.8351603113813606,0.8094176090204993,0.8210148796894087
FE,RE,RE,0.08289268471695078,0.06484943487545665,0.04471604350969799,0.0938555050061651,0.07879003593894335,0.06521435142938625,0.110511701182618,0.1013441978597551,0.09332069903895973
RE-Mean,RE,RE,0.07824791644340261,0.06239705313245059,0.0438434190754825,0.08958966911586427,0.07634254375064824,0.06407793519252582,0.10798740784493462,0.09948398246938796,0.09230940681709372
RE,RE,RE,0.07820452148828051,0.062384020325739815,0.04384711390794988,0.08951158544605389,0.07634262486872058,0.06405279038051095,0.10788271977230832,0.09949638855694898,0.0922590829446714
SL,RE,RE,0.07481824072747018,0.05897508763107739,0.040542374907668544,0.08391807872341303,0.07194081838129628,0.059695212541342045,0.1004383812650252,0.09190325714886034,0.08628157775146202
FE,RE-Mean,RE-Mean,0.11871113111377553,0.10118035004634088,0.08679828916733329,0.14407131919069588,0.13158035374296997,0.13046984786904103,0.17273240172773932,0.16555687839751634,0.16727618053215573
RE-Mean,RE-Mean,RE-Mean,0.11062504476418379,0.09623749306283523,0.0851426105235519,0.13995263194038163,0.12907553403337838,0.129208709849071,0.17114400670701643,0.16395711142860445,0.16627971679702977
RE,RE-Mean,RE-Mean,0.11056434328532892,0.09629289412788501,0.08514954631438974,0.13998656484066352,0.12906253219247218,0.12921174868868987,0.1710522087687703,0.16391731601824272,0.16628200362472173
SL,RE-Mean,RE-Mean,0.10558484475776615,0.09052692205962169,0.0806232119632638,0.13614147373534352,0.12545311371057255,0.1258487678958264,0.16733392869524538,0.15827113400298512,0.16126516570374672
FE,SL,SL,0.12485820464475832,0.09268229099834176,0.06726554568293805,0.1681202287183614,0.13046415792585123,0.10707882931673247,0.28480492600558344,0.22567805663740212,0.18293247307126856
RE-Mean,SL,SL,0.35918945455055384,0.22376625761575727,0.11641855247717359,0.33312807181525567,0.2213941781431138,0.1371908167418206,0.37749019001487555,0.2853037703179829,0.20960706985901284
RE,SL,SL,0.36072862860893734,0.22448663147404221,0.11667134222151024,0.3342532285245106,0.22195943679466587,0.1374400391205698,0.37802215581679655,0.285535951504932,0.20987647288437752
SL,SL,SL,1.0804204844046221,1.0749503401271616,1.08064347354658,1.0667791076551194,1.0636824885133163,1.069401306129721,1.055650952376118,1.0525129562418336,1.061608217305323
