PS Model,Med,Mediator/Outcome Model,TNDE_0.05_20,TNDE_0.05_40,TNDE_0.05_100,TNDE_0.2_20,TNDE_0.2_40,TNDE_0.2_100,TNDE_0.5_20,TNDE_0.5_40,TNDE_0.5_100
FE,FE,FE,0.06272964073350695,0.06328113415836834,0.07365399427561026,0.06208658753699292,0.06248576014672591,0.08417527554124216,0.06594403465304621,0.06260512531876006,0.09274183490212295
RE-Mean,FE,FE,0.06391497860492534,0.06331747440027158,0.07391434346174774,0.06337602530960496,0.06273501086626165,0.08410001402487643,0.06550960058210165,0.06278932164681228,0.09254491547108068
RE,FE,FE,0.06365784938304486,0.06329646246592713,0.07388275137830402,0.06316411417866341,0.06272312064232288,0.08410029428020427,0.06540471668542924,0.0627372372950814,0.09251318313502854
SL,FE,FE,0.06525924999775867,0.0638712455141135,0.07355832613137636,0.06509171196878838,0.06319318018689679,0.0813673841447875,0.06286197607849653,0.06345178703214427,0.09133177940876935
FE,RE,RE,0.063993950341247,0.0638384098428264,0.06561821337607276,0.06540701577678631,0.06242789919690961,0.06507662339706943,0.06551601708732524,0.06363837245911519,0.06294849816031922
RE-Mean,RE,RE,0.06610026841897754,0.06428246023188522,0.06571859716903283,0.06654538262261611,0.06286451090359035,0.06512582720569093,0.06591734843876718,0.06363201120767537,0.06308028549442257
RE,RE,RE,0.06617464462899658,0.06427144274983188,0.06571557227993718,0.06658464300173539,0.06286187964889445,0.06512287652950866,0.0659102511744154,0.06364012576215883,0.06309258543734986
SL,RE,RE,0.07082295818207807,0.06673821636199495,0.06655665358789342,0.07071847491451555,0.06510686676787758,0.06547290677400697,0.06886417457601146,0.06446648236468855,0.06385646663751365
FE,RE-Mean,RE-Mean,0.06150653183763466,0.061912678113927866,0.06690460184784297,0.062316322176755756,0.05983261493929848,0.06625487205104785,0.06391692012549277,0.060180907729916466,0.06357376485496569
RE-Mean,RE-Mean,RE-Mean,0.06290260756806965,0.06177319871460418,0.06677849519115608,0.06291558495996452,0.05997078704818959,0.06620763451547096,0.06402748328425201,0.05998110358978859,0.0637654170748867
RE,RE-Mean,RE-Mean,0.06289440481822117,0.06179105205411517,0.06677549784740533,0.06289699081721034,0.05996571595036615,0.0662003482519169,0.06401464408340574,0.060014638462751346,0.0637697413360756
SL,RE-Mean,RE-Mean,0.06476774812656161,0.06198283216605738,0.06592657416801528,0.06477750525573023,0.059705975861419125,0.06505626707185064,0.06506926469810814,0.05957524676066561,0.06372246107343416
FE,SL,SL,0.08360819466729663,0.06945201142554791,0.06726024269758168,0.10342217700305767,0.0745402605197778,0.06939182341493577,0.15326444035207065,0.11563989979643341,0.08894169999020285
RE-Mean,SL,SL,0.21412217505521447,0.15234488725505946,0.10747701092803319,0.19850972035994752,0.14129943800305056,0.10429014731143837,0.20754441130204948,0.15829375786033628,0.11833645134590953
RE,SL,SL,0.21508937190490274,0.15274429076280316,0.10762544369758698,0.1993905447498121,0.1415990437977095,0.10443765507115543,0.20834667746598545,0.15857383956455973,0.11853012487831105
SL,SL,SL,0.5216927228897219,0.5192871390774412,0.5234083374695666,0.513633215331843,0.5107324217978977,0.5153712906781645,0.5026314512737273,0.501716484664475,0.5048374798529056
