PS Model,Med,Mediator/Outcome Model,TNIE_0.05_20,TNIE_0.05_40,TNIE_0.05_100,TNIE_0.2_20,TNIE_0.2_40,TNIE_0.2_100,TNIE_0.5_20,TNIE_0.5_40,TNIE_0.5_100
FE,FE,FE,8.128235280719931e-4,0.0015611186806532285,-0.002265088675307614,-3.686622859361277e-4,0.0010080591703909292,-0.0014374193253522405,0.0019350622093490255,-6.136166834421752e-4,-0.0018315602846348256
RE-Mean,FE,FE,9.524697743195087e-4,0.0013339700669439125,-0.0022910554707168407,-3.630006301486022e-4,9.445545140527312e-4,-0.0014725230067541561,0.0017885470796707992,-4.579956100447813e-4,-0.0017908930359501474
RE,FE,FE,0.0010034928493658501,0.0013440334312118107,-0.002298061023279563,-3.3987881434083267e-4,9.362728047064284e-4,-0.0014916227915741098,0.0018428845856328646,-4.482612398527541e-4,-0.0018027754008677066
SL,FE,FE,0.0011089643187387477,8.14867702126687e-4,-0.002109421108421383,-5.623555842924066e-4,3.309005650602437e-4,-0.0014944377880395932,9.959209500947086e-4,2.9182383352255314e-5,-0.0013261623000317968
FE,RE,RE,8.339657987603832e-4,0.0015484805876768704,-0.0022603632032829335,-4.2317902430877297e-4,0.001008529945577763,-0.0014350582531250655,0.0019825259770354098,-6.321482294143754e-4,-0.0018306013627317208
RE-Mean,RE,RE,0.001060762338180643,0.0013050769770561743,-0.0022794746601076943,-3.6701364459612584e-4,9.536809871757423e-4,-0.0014672232300946275,0.0018409896249502733,-4.706720254878949e-4,-0.001787703530927498
RE,RE,RE,0.0011319718829527758,0.0013140173516459352,-0.0022861660884891943,-3.354422692918302e-4,9.463220725591803e-4,-0.0014861945697622891,0.0018985336912373807,-4.6023379636894735e-4,-0.0017993357481338457
SL,RE,RE,0.0014297300177057437,7.442600250873177e-4,-0.0019914772528614177,-3.191670904024724e-4,3.516879413201224e-4,-0.001432942937792725,0.001105959831277481,5.234845344426198e-5,-0.0012906365520914953
FE,RE-Mean,RE-Mean,0.0012538763879588188,0.0017923988128458745,-0.002164926235181386,-2.9922570007556715e-5,0.0012235888634475334,-0.0013482850942851954,0.002255377440889994,-4.98907830301154e-4,-0.001780001088511729
RE-Mean,RE-Mean,RE-Mean,0.0014047828935561668,0.0015835804375616824,-0.002189621258773755,7.71910833119449e-6,0.0011777283331300126,-0.0013815386937202634,0.00212465222973357,-3.325338293704849e-4,-0.001736891429775289
RE,RE-Mean,RE-Mean,0.0014842020013552393,0.001591951365838229,-0.0021965882358692124,4.10003928936753e-5,0.0011700251445285748,-0.001400707901089926,0.00218342767753521,-3.2200474321120165e-4,-0.001748590046903753
SL,RE-Mean,RE-Mean,0.0015230484258621502,0.0010708769287963715,-0.0020051657670117073,-1.607655017338283e-4,5.624769527547979e-4,-0.0014008498408241143,0.0012889857817024453,1.6659064639523713e-4,-0.0012672207967695526
FE,SL,SL,8.525276649122837e-4,4.8850583493242894e-5,-0.0019790524141708454,-0.0014431810404399448,-9.713623702322094e-4,-0.0011953064548353431,0.0023989263457937504,-0.004213613866093424,-0.0020243902394642133
RE-Mean,SL,SL,0.0017721862549868739,2.4844352011066384e-4,-0.0018496159822227742,1.41865105595107e-4,-2.5777943818749982e-5,-8.986517328571919e-4,0.003376854464985257,-0.002577558455671869,-9.273438783851118e-4
RE,SL,SL,0.0018810258604946561,2.4155252164259622e-4,-0.001852587084937407,2.9159012767054904e-4,-1.4513570407492793e-5,-9.157590841788465e-4,0.0035495361544948256,-0.002461931468625722,-9.528804289519188e-4
SL,SL,SL,0.0032648792740286314,7.961362478026146e-5,-1.7233520107462486e-4,0.0032473309154092966,7.665532461287317e-4,0.002074800221835149,0.0059541308141743965,0.001944514939409947,0.004056595516778172
