PS Model,Mediator/Outcome Model,TNIE_0.05_20,TNIE_0.05_40,TNIE_0.05_100,TNIE_0.2_20,TNIE_0.2_40,TNIE_0.2_100,TNIE_0.5_20,TNIE_0.5_40,TNIE_0.5_100
FE,FE,0.12886150180136058,0.09121522299822757,0.05729348877611564,0.12990823356834724,0.09436373513839105,0.06221005865310672,0.12246811178444025,0.08975362790911738,0.06916960988785696
RE,FE,0.12279753561621032,0.08761296369248951,0.05603511510687203,0.12287670116908565,0.08965737339603085,0.059585737749212685,0.11681520083151248,0.08571258782693049,0.06581075245426103
SL,FE,0.11568776004618153,0.08085443083367794,0.05124092329804301,0.11110923287743722,0.07902905270651978,0.04941644252368211,0.09676969931144293,0.06679942221463482,0.04407750572748036
FE,RE,0.1288191303395012,0.09132332672124689,0.05730775113930498,0.12966890309697518,0.09431337873730344,0.06219218994313188,0.12197386191857598,0.08963836610461695,0.06913788135607825
RE,RE,0.12110084998982303,0.08705867212934194,0.05592121705280749,0.12191104054182966,0.08932885371179634,0.059522912127316696,0.11614738130484074,0.08552691683561563,0.06576141856734359
SL,RE,0.1124743901229363,0.07878356141186918,0.05047386323092907,0.10959837062431542,0.07781142534856221,0.04912870197620423,0.09603740367171948,0.06622794216501543,0.04398292143721394
FE,RE-Mean,0.12960195420709517,0.0915544913358167,0.05732528636896938,0.13043966843934068,0.0945594697483507,0.06223034408439588,0.12272171360568483,0.0898927838471849,0.06918290704740311
RE,RE-Mean,0.12310923204257568,0.08780787669904658,0.056028143032959034,0.12312057159259898,0.08977613962124278,0.059590452260880514,0.11699379933940889,0.0858312123368128,0.06581556385387267
SL,RE-Mean,0.11569571617618181,0.08090927784914904,0.05117174815125617,0.11112885292462678,0.07904385442023405,0.04941469269488402,0.0967958156657478,0.06684086916273267,0.04405757392863398
FE,SL,0.13045077004505132,0.09064693669494917,0.060781333000024314,0.15091045228500855,0.11454371650517116,0.08804413918782923,0.20858340761193536,0.17371803617437623,0.148176813995846
RE,SL,0.12401247971127034,0.0883192060077096,0.06094853366091703,0.14414669179014583,0.1124250664728638,0.08866238497936041,0.19543947218912447,0.1687468397391746,0.14286318384404667
SL,SL,0.13691361119746334,0.10577212297492666,0.08437426516014483,0.18767100739479414,0.1645241386861621,0.150377524733431,0.2837417948350921,0.2703702353214868,0.2561560712863441
