PS Model,Mediator/Outcome Model,PNDE_0.05_20,PNDE_0.05_40,PNDE_0.05_100,PNDE_0.2_20,PNDE_0.2_40,PNDE_0.2_100,PNDE_0.5_20,PNDE_0.5_40,PNDE_0.5_100
FE,FE,0.415287467309315,0.35224280114709683,0.3006904689350519,0.5967115845451691,0.5602709157900398,0.5467063803449694,0.8548759304106568,0.82806283609575,0.8306624089012449
RE,FE,0.3868500984159797,0.3402215880737792,0.29636508834353925,0.5813350218337917,0.5515601697633791,0.5436609785612548,0.8477552747278284,0.8235784311961383,0.8283602638832874
SL,FE,0.37893428671637147,0.3203636459797668,0.28601197175071513,0.5741341392304132,0.5356390837408589,0.5282932353216511,0.8351603113813613,0.8094176090204996,0.8210148796894092
FE,RE,0.0828926846997352,0.06484943487609782,0.04471604351232737,0.09385550497005764,0.07879003593731959,0.06521435142336761,0.1105117011831363,0.1013441978692303,0.0933206990375144
RE,RE,0.07820452381408209,0.06238401463103078,0.043847114998084774,0.08951158871289999,0.07634262669305959,0.06405279479472746,0.10788269185006755,0.09949639021499034,0.09225908240044664
SL,RE,0.07481824076228658,0.05897508751702236,0.04054237491085642,0.08391807875035379,0.07194081838072319,0.059695212594741316,0.100438381306351,0.09190325717342569,0.08628157773162794
FE,RE-Mean,0.11871113110445529,0.10118035003627711,0.08679828916153771,0.14407131918202906,0.13158035375556731,0.13046984786398608,0.1727324017310412,0.1655568783911547,0.16727618052974522
RE,RE-Mean,0.11056433222139161,0.09629288657705014,0.08514954454951112,0.13998658567002115,0.12906253422671143,0.12921175037920582,0.17105219443618933,0.16391731858907851,0.16628200272426463
SL,RE-Mean,0.10558484474863258,0.09052692205334517,0.08062321198100894,0.1361414737277501,0.12545311370830853,0.12584876789787341,0.1673339286927775,0.15827113400071707,0.16126516570493044
FE,SL,0.12485820464475814,0.0926822909983417,0.06726554568293842,0.1681202287183615,0.13046415792585098,0.10707882931673231,0.2848049260055832,0.2256780566374023,0.18293247307126786
RE,SL,0.36072864698017953,0.22448659063550822,0.11667135558591316,0.3342532202612484,0.22195943744836716,0.13744003569712704,0.37802235702037756,0.28553595867194687,0.20987645446486275
SL,SL,1.0804204844046221,1.0749503401271616,1.0806434735465802,1.0667791076551194,1.0636824885133158,1.069401306129721,1.055650952376118,1.0525129562418336,1.0616082173053218
